brand,model_name,model_norm,product_type,car_year,vehicle_age,car_price,brand_origin,segment,brand_tier,rv_grade,risk_grade,profit_grade,brand_delinquency_rate,model_delinquency_rate,model_profit_rate,reference_new_price,brand_reference_new_price,brand_new_obs,implied_residual_ratio
AUDI,A7,A7,Used Car,2012,12.0,42000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,41000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,42000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2012,12.0,39000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,44000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,42000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2012,12.0,26000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q5,Q5,Used Car,2012,12.0,33500.0,Europe,SUV C-seg,Unknown,Unknown,Unknown,Normal,0.27183101557412664,,0.03632335633703288,,,,
AUDI,Q7,Q7,Used Car,2012,12.0,33000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,39000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2013,11.0,63000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2013,11.0,53000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2013,11.0,40000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2013,11.0,34000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2013,11.0,56000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2013,11.0,49000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2013,11.0,50000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2013,11.0,46000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2013,11.0,40000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2013,11.0,37500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2013,11.0,43000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2013,11.0,50000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,R8,R8,Used Car,2014,10.0,148000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2014,10.0,36800.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,S8 Quattro,S8 QUATTRO,Used Car,2015,9.0,135000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2015,9.0,70000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2015,9.0,68000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2015,9.0,56000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A8,A8,Used Car,2015,9.0,60500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2016,8.0,67000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2016,8.0,62000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q5,Q5,Used Car,2018,6.0,53000.0,Europe,SUV C-seg,Unknown,Unknown,Unknown,Normal,0.27183101557412664,,0.03632335633703288,,,,
AUDI,Q8,Q8,Used Car,2019,5.0,130000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q8,Q8,Used Car,2019,5.0,95000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q8,Q8,Used Car,2019,5.0,115000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q5,Q5,New Car,2020,4.0,85000.0,Europe,SUV C-seg,Unknown,Unknown,Unknown,Normal,0.27183101557412664,,0.03632335633703288,,,,
AUDI,Q2,Q2,Used Car,2020,4.0,35000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BAIC,X7,X7,New Car,2022,2.0,48000.0,China,SUV,Unknown,Unknown,Unknown,Unknown,,,,,,,
BAIC,X7,X7,New Car,2022,2.0,37000.0,China,SUV,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,Bentley,BENTLEY,Used Car,2013,11.0,110000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,Continental GT,CONTINENTAL GT,Used Car,2013,11.0,95000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
BENTLEY,Continental GT,CONTINENTAL GT,Used Car,2013,11.0,105000.0,Other,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
